I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason. I also understand that my data will be treated confidentially and any publication resulting from this work will report only data that does not identify me.,What is your age?,In what country do you work?,What is your self-identified sex?,What would you describe as your current occupation?,Other (please specify),"Are you currently in academia (as a researcher, advisor, student, etc.)? If you are a practicing psychologist (e.g. educational, clinical) or training to be one, please select ""Practicing psychologist"".",PhD or Doctorate student,Postdoctoral researcher,Assistant lecturer/Research associate,Lecturer/Assistant professor,Senior lecturer/Associate professor,Reader/Professor,Professor/Distinguished professor,Trainee practicing psychologist,Practicing psychologist,Other (please specify),Have you left academia (including your practicing psychology course/profession) or are considering leaving it?,You believe the stress of the job is too high,You want a better work-life balance,"You have experienced frustration/despair at uncertainty of how much of the literature is true due to QRP's, publication bias, etc.",You are intimidated by the culture of criticism,You have experienced workplace bullying/harassment,You believe the pay is too low,You have been (in your view) harshly criticized because of your work,You have experienced frustration/despair due to being unable to replicate other scientist's published studies,You do not believe the rewards/incentives to stay are great enough or are too delayed,You do not feel the work you are performing is a benefit to society,You do not feel the field is progressing,You dislike the lack of control over your location,You dislike the large amount of effort required to gain funding,Other (please specify and state how relevant it is),"Thank you for participating in this survey. If you have any questions or comments, please don't hesitate to contact me at psychbrief@gmail.com or write in the box below."
Yes,30-39,United States of America,Female,Psychological science,,No,,,,Lecturer/Assistant professor,,,,,,,Left,4,3,4,3,3,2,2,2,4,4,4,3,4,Inequitable tenure and promotion standards,
Yes,60 or older,Canada,Female,Industry,,Yes,PhD or Doctorate student,,,,,,,,,,Left,2,2,1,1,1,2,1,1,4,1,1,5,3,"(1) Lack of stability (takes too long to get stability), (2) poor pay for non-tenured faculty, (3) Few positions available if you can't travel, (4) Rat-race",
Yes,30-39,United States of America,Female,Government position,,No,PhD or Doctorate student,,,,,,,,,,Left,3,3,4,1,1,3,1,2,4,4,3,5,5,,
Yes,21-29,United States of America,Female ,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,3,3,5,2,2,1,1,3,1,3,1,,
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Left,3,3,4,1,4,2,1,4,5,5,3,2,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Other (please specify),I am in the final month of my job as a psychology lecturer and next month will begin a job in science communication,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,5,5,1,2,2,1,1,0,3,3,1,5,4,Highly relevant: I dislike the pressure to over-identify with my job. Highly relevant: my mental health has suffered due to the demands of the job. Highly relevant: my university is poorly managed,I'd love to see what you get out of this survey! Please will you let me know if you publish anything about this: clarescifi@gmail.com
Yes,30-39,Netherlands,female,Other (please specify),cognitive science,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,4,3,4,1,2,1,4,3,3,1,5,4,,
Yes,30-39,Germany,female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,3,5,1,1,3,4,1,1,3,2,4,4,5,,
Yes,21-29,United States of America,Male,Psychological science,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Currently in but planning on leaving,4,5,5,4,3,4,3,1,5,4,3,4,5,,
Yes,40-49,Netherlands,m,Other (please specify),neuroscience,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,4,5,4,1,4,3,1,1,5,4,4,5,5,,
Yes,30-39,Serbia,Female,Self-employed,,No,,,,,,,,,Practicing psychologist,,Left,5,2,3,1,4,5,4,1,4,2,3,2,4,,
Yes,30-39,Netherlands,Female,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,3,5,4,3,1,3,1,3,2,4,2,4,5,Highly relevant: i have a permanent contract at my current workplace (in industry). Also highly relevant: i get messages on LinkedIn about once a month from recruiters asking me if i want to leave my current job and work for them. My senior colleagues get a few of those every week. I guess i could call it job security.,
Yes,30-39,Australia,Male,Social sciences other than psychology,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,1,1,3,1,3,1,1,5,3,1,3,2,"Extremely relevant: isolation/dislike of working alone, slowness of publication process in my field, lack of intrinsic motivation at times",
Yes,30-39,Sweden,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,2,2,3,1,1,3,1,2,4,2,3,1,3,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Left,5,5,1,2,1,2,2,1,4,1,3,4,5,,
Yes,30-39,United States of America,Female,Other (please specify),Unemployed,No,PhD or Doctorate student,,,,Senior lecturer/Associate professor,,,,,,Left,3,5,3,1,1,4,1,2,5,2,1,2,5,,
Yes,21-29,United States of America,male,Other (please specify),looking for a job: left PhD program with MA - sociology,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,1,1,2,2,1,1,2,1,4,4,3,"Most relevant: ended at low-ranked program by chance, greatly disappointing by the lack of expertise, mentorship, incompetency of professors and their tremendous vanity; coupled with discipline where it would be impossible to overcome the low prestige of PhD granting program irrelevant of my research/academic accomplishments",nice research :)
Yes,50-59,United States of America,Female,Social sciences other than psychology,,No,PhD or Doctorate student,,,,,,,,,,Left,3,4,1,2,1,1,1,1,3,2,1,5,3,,
Yes,30-39,United States of America,Male,Industry,,Practicing psychologist,PhD or Doctorate student,,,Lecturer/Assistant professor,,,,,,,Left,1,1,3,1,2,5,1,2,5,2,4,1,2,"Most research & publications in academia today have little or no relation to what occurs in practice - especially in I/O psychology. The current model of the university setting may be outdated in 5-10 years as well. It seems like a huge investment (e.g., publishing, politics, etc.) for not much pay off (e.g., low salary compared to industry), and when I can do real applied psychology at my job in industry all the time.",
Yes,30-39,United States of America,malw,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,4,3,1,2,2,4,5,4,1,5,5,,
Yes,30-39,United States of America,Female,Industry,,No,,,,Lecturer/Assistant professor,,,,,,,Left,5,5,4,3,5,3,3,1,5,2,4,4,5,,
Yes,21-29,United States of America,Female,Social sciences other than psychology,,Yes,,,,,,,,Trainee practicing psychologist,,,Left,4,5,4,1,1,3,3,1,4,5,5,1,5,Publish or perish mentality causes there to be a lack quality/novel research. Further the focus on theory while important is overemphasized because the only reason we have the current theories is because people researched random occurrences.,
Yes,30-39,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,5,5,3,5,5,5,1,3,1,2,5,3,"I hate how increasingly corporatized academic has become and will continue to become (extremely relevant). Administration and managers in academia are absolutely clueless on how to manage people (extremely relevant). You feel surrounded by mental illness (extremely relevant). I believe academia and employers are putting students deep in debt while denying them a living wage once they graduate, and I simply cannot contribute to that problem any more (extremely relevant). ",
Yes,21-29,United States of America,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,4,2,3,2,3,1,1,3,4,2,5,3,,
Yes,30-39,Germany,Male,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Planning on staying,2,2,1,2,1,1,1,1,3,1,1,3,3,,
Yes,30-39,United States of America,Female,Industry,,No,PhD or Doctorate student,Postdoctoral researcher,,,,,,,,,Left,4,5,2,2,1,0,1,1,5,4,4,5,4,,
Yes,30-39,Netherlands,F,Humanities,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,4,4,2,2,1,5,1,1,5,5,3,3,4,,
Yes,40-49,United States of America,Female,Government position,,No,,,,Lecturer/Assistant professor,,,,,,,Left,4,4,1,1,1,5,1,1,3,1,1,1,1,"Low support for adjuncts: no space to work, hold office hours, etc. ","I succeeded in teaching a difficult subject both to learn and to teach, but I could not do that and have a full time job which at this point in time I need to live in an area with high cost of living.  I was invited back and I might go back sometime. "
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Practicing psychologist,,,,,,,,,Practicing psychologist,,Considering leaving,4,5,1,4,5,2,2,1,1,1,1,2,2,,
Yes,30-39,Canada,female,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,1,2,5,2,1,2,1,1,2,1,1,2,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Female,Teaching,,Yes,PhD or Doctorate student,,,Lecturer/Assistant professor,,,,,,,Considering leaving,3,4,1,4,3,2,4,1,4,3,0,4,4,,
Yes,60 or older,United States of America,Male,Other (please specify),Retired,No,,,,,,,Professor/Distinguished professor,,,,Left,1,5,2,1,1,4,2,2,5,5,5,1,4,More intellectual freedom as an independent scholar,
No,30-39,France,Male,Physical Sciences,,No,PhD or Doctorate student,,,,,,,,,,Left,5,5,5,5,5,3,4,5,3,5,4,3,5,,
Yes,30-39,Belgium,male,Industry,,No,,,,,Senior lecturer/Associate professor,,,,,,Left,3,5,5,1,5,1,1,5,5,3,5,1,2,,"maybe just some closing thoughts: it was impossible for me to do research that A) I believed in B) that was robust (e.g. high statistical power, more likely to be replicable and C) publishable in top outlets. I felt at the time, and feel like this more and more, that the epistemology (requiring significant p-values from complicated studies (e.g. minimum of 2 X 2 designs) that are almost always underpowered, building up a series of experiments where the effects are teased apart in ways which I now see are statistically unbelievable...) is a dead end. In other words- if you really believed in getting solid answers to the questions you're asking as an academic social scientist, you would *never* go about your work in the way that is typical in psychology. I'm a ""data scientist"" now, and for all the crap that comes along with it, I never worry about sample size or making tenuous inferences from poor data. It makes an enormous difference in how I feel about my work."
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considering leaving,2,4,2,2,4,3,1,1,1,2,3,1,2,"discrimination against women returning from maternity leave, and working part time (highly relevant)",
Yes,30-39,Australia,Male,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,5,4,2,4,4,4,5,4,4,0,5,,
Yes,21-29,United States of America,Squid,Other (please specify),Mathematics ,No,,,,,,,,,,Undergraduate,Left,1,1,1,1,1,1,1,1,1,1,1,1,1,I graduated. It's the most relevant reason.,
Yes,30-39,United States of America,Male,Industry,,No,PhD or Doctorate student,Postdoctoral researcher,,,,,,,,,Left,4,5,5,1,1,5,1,3,3,4,5,5,5,,
Yes,30-39,United States of America,male,Physical Sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,4,1,1,3,1,3,5,3,2,1,1,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Life sciences,,No,PhD or Doctorate student,,,,,,,,,,Left,2,2,1,1,1,5,1,1,3,2,1,1,4,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,No,,,,,,Reader/Professor,,,,,Left,5,5,4,4,5,1,3,1,3,1,4,2,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Other (please specify),mental health care,No,PhD or Doctorate student,,,,,,,,,,Left,5,5,5,2,1,5,1,3,5,5,1,3,5,,
Yes,30-39,Canada,Male,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,4,5,3,1,4,3,1,3,5,3,3,3,5,,
Yes,30-39,United States of America,female,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,5,3,3,1,5,3,2,3,2,3,4,5,no stability,
Yes,30-39,Belgium,female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,5,3,1,1,2,3,3,2,3,4,5,unlikely odds of a permanent contract,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,5,1,4,3,3,3,5,4,4,5,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,2,3,1,1,1,2,1,1,3,2,1,5,2,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,5,3,1,2,3,1,2,4,4,2,2,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,female,Self-employed,,Yes,,Postdoctoral researcher,,,,,,,,,Left,3,3,3,1,5,3,1,1,3,2,3,2,2,Social Psychology is corrupt and Professors take shortcuts to gain rewards,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female ,Life sciences,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Considering leaving,5,5,4,3,5,4,4,3,3,1,3,4,5,"Fixed term contracts combined with higher student numbers. Additional pressures are not helped by indemic culture of bullying, harassment and lack of empathy. Particularly as an early career researcher it's not an attractive occupation to stay in.",Looks like a fascinating project that I discovered through Twitter.   My email is YhnellE@cf.ac.uk if you'd like any more info or to keep in touch.  Best wishes  Emma 
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Female,Social sciences other than psychology,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,3,4,2,4,2,3,3,1,5,2,2,2,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,No,,Postdoctoral researcher,,,,,,,,,Left,2,3,3,3,1,2,2,2,3,2,2,3,4,,
Yes,30-39,Canada,Female,Industry,,Yes,,,,,,,,,,Adjunct (external) professor,Left,1,2,1,2,1,1,1,1,1,1,1,5,2,Spousal considerations.  Left academia because of dual-body problem.,
Yes,30-39,Canada,Female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,Re. q 8: I left academia but returned 3 years later,Considered in the past whether to leave but have (currently) chosen to stay,5,3,1,5,5,1,1,1,4,1,1,2,5,"My university closed, then I had an abusive boss, then I developed Crohn's while working as a sessional and it was too hard to be a good instructor. (*extremely relevant) - When my health improved and I wanted to move to the coast, I joined the faculty at a small university  thanks to keeping up my research and teaching (very part time) during the 3 years when I left academia. I hadn't intended to return but I left the door open.",
Yes,40-49,Turkey,Male ,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,4,3,4,4,1,4,4,1,4,2,4,3,4,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female ,Other (please specify),V,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,3,3,4,3,3,3,2,4,4,3,3,4,,
Yes,30-39,United States of America,Female,Other (please specify),Researcher for Public School District,No,PhD or Doctorate student,,,,,,,,,,Left,4,4,1,4,2,4,1,1,5,5,2,5,5,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,F,Psychological science,,Yes,,,,,,,Professor/Distinguished professor,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,2,4,2,1,5,1,3,5,1,1,4,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Other (please specify),Experimental officer/technician ,Yes,PhD or Doctorate student,,,,,,,,,,Left,4,4,2,2,1,1,2,2,2,2,1,3,5,"Didn't any to move, can't publish work as non signif. Need to pay mortgage",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Self-employed,,No,PhD or Doctorate student,,,,,,,,,,Left,2,1,1,1,1,2,1,1,5,1,5,4,2,"I find that the pressure to publish undermines my ability to think creatively and pursue the questions actually worth pursuing.  I find that self-employment (actually:  starting a technological company) affords me this precious freedom.  The academic institutions I've encountered do more to stifle innovation and discovery than to foster it.  They incentivize working on easy problems that guarantee publication, whereas, counter-intuitively, a capitalistic career enables me to pursue my intellectual interests once my basic needs are met.  This is the primary reason for my departure.  In less than 6 months I had a living wage, and I have two days per week devoted to my own personal projects/edification.","This is very important work you're doing, so thank you!  I really wanted to enjoy academia, but it was one of the most suffocating environments I've ever encountered."
Yes,40-49,Australia,Male,Psychological science,,Practicing psychologist,PhD or Doctorate student,Postdoctoral researcher,,,,Reader/Professor,,,Practicing psychologist,,Left,3,3,1,3,4,3,2,1,4,3,5,3,5,Internal pressure to recruit students,
Yes,40-49,Germany,Male,Other (please specify),Business,No,PhD or Doctorate student,,,,,,,,,,Left,2,1,2,1,1,3,1,1,3,2,1,3,4,,Main reasons for leaving not included in questionnaire:  1. Unrealistic pressure to publish  2. Number of published papers determines funding (as opposed to quality of research)  3. Unrealistic teaching load next to research.   4. Way to much overhead at university (e.g. research manager or funding manager...)
Yes,30-39,United States of America,Female,Other (please specify),"Coordinator, evaluator",No,PhD or Doctorate student,,,Lecturer/Assistant professor,,,,,,,Left,3,2,2,1,1,3,1,1,3,4,1,2,1,"I grew tired of the students, their immaturity, and their mental health issues. I taught mostly Freshmen.",
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,No,,,,Lecturer/Assistant professor,,,,,,,Left,5,5,1,1,1,1,2,1,3,1,1,5,5,,
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,3,3,4,1,3,3,1,3,3,3,1,4,4,,
Yes,21-29,Canada,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,3,3,3,3,1,3,1,2,4,3,4,5,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Teaching,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,5,3,3,1,2,3,2,2,3,3,5,5,"Highly relevant was the lack of jobs compared to the number of applicants. I fet I had to leave because I had bills to pay, so I took a job outside of academia.","I left academia, then came back to it. This wasn't an option, but I filled out I left initially."
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,3,5,3,1,2,2,4,4,5,2,3,4,,
Yes,40-49,Turkey,Male,Self-employed,,No,,,,,Senior lecturer/Associate professor,,,,,,Left,4,3,3,2,1,3,1,2,5,3,3,2,5,,
Yes,60 or older,United Kingdom of Great Britain and Northern Ireland,Female ,Self-employed,,Yes,PhD or Doctorate student,,,,,,,,,,Left,4,2,2,4,1,1,1,1,1,1,1,1,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,2,5,2,1,4,1,4,5,2,3,5,5,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Considering leaving,4,5,2,3,1,1,1,2,4,3,3,2,4,,
Yes,40-49,United States of America,Male,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,4,5,1,1,1,4,1,1,5,1,1,5,5,,
Yes,30-39,United States of America,Male,Psychological science,,No,PhD or Doctorate student,,,,,,,,,,Left,3,4,2,1,1,4,1,3,5,3,3,5,1,,
Yes,50-59,United States of America,Man,Other (please specify),Cognitive science,No,,,Assistant lecturer/Research associate,,,,,,,,Left,2,3,3,2,3,3,1,1,4,3,2,3,4,,I work for a nonprofit research organization as a soft money researcher. I count that as being outside of academia. Although the grant writing hamster wheel is still very much a part of my professional life. I do feel that my choice has let me advance more quickly in terms of pay and tank than would have been possible had I remained in the uni system.
Yes,21-29,United States of America,Female,Other (please specify),Higher Education,Yes,,,,,,,,,,Research Analyst (with PhD),Left,4,4,2,3,1,2,2,1,3,3,1,5,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female ,Psychological science,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Currently in but planning on leaving,2,2,3,3,1,3,3,3,4,5,4,5,5,,
Yes,40-49,Netherlands,Male,Other (please specify),University policy advisor,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,4,1,2,4,2,4,4,3,4,2,5,,
Yes,30-39,Australia,Male,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,1,4,5,1,1,3,1,4,4,3,4,4,5,,
Yes,40-49,United States of America,Female,Teaching,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Currently in but planning on leaving,4,5,3,1,4,5,3,2,5,3,1,3,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,male,Self-employed,,No,,,Assistant lecturer/Research associate,,,,,,,"Masters of Science. Also: started phd, did not complete",Left,4,4,4,4,1,3,3,2,4,3,3,3,3,"Lack of mental health support, highly relevant","The question about what level of academia achieved is ambiguous. I started my PhD and published a number of papers, while also teaching first and third year tutorials as an assistant lecturer, and then left before defending my thesis. I didn't know if I should check multiple boxes or none at all. Also, the list does not include masters degree programs--are they not part of academia?"
Yes,21-29,Switzerland,Male,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,4,3,3,1,3,3,1,5,3,2,3,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,2,4,1,1,1,2,2,4,2,4,1,3,,
Yes,50-59,Australia,Male,Teaching,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,2,4,4,1,4,4,4,4,1,4,3,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Science Communication,,No,,Postdoctoral researcher,,,,,,,,,Left,3,3,3,1,1,1,1,1,4,1,1,1,3,Work culture and management structure in my lab - highly relevant,"Other reasons were for job security and the ease of finding a new job - simple application and interview, not 6 months grant writing and 6 months waiting for a decision.     Also positive reasons for leaving, to gain new skills, to take something that I enjoyed during my research (research communication) and get better at it, face new challenges."
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Female ,Psychological science,,Yes,,,,,,,Professor/Distinguished professor,,,,Considered in the past whether to leave but have (currently) chosen to stay,1,1,1,1,4,1,1,1,1,3,1,3,1,Extremely relevant : When I was younger I considered leaving academia because I wanted to do work that was more meaningful & benefitted more people. I stayed & now I feel that is the case. I contribute to society through both teaching & research.,
Yes,30-39,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,3,5,1,1,1,3,2,1,5,2,1,5,4,,
Yes,21-29,United States of America,Male,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,5,5,1,1,3,2,5,5,5,2,5,5,,
Yes,40-49,Germany,FFS,Psychological science,,No,,,,,,Reader/Professor,,,,,Left,5,4,5,4,2,4,3,4,5,2,5,3,5,,
Yes,21-29,Canada,Male,Other (please specify),Social psychologist working out of a political science department,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,5,4,5,1,2,1,3,1,2,3,5,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Planning on staying,2,1,5,3,1,1,1,3,1,1,2,4,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Planning on staying,4,4,3,2,1,3,2,1,3,3,2,4,5,,
Yes,30-39,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,3,2,5,1,1,4,1,2,4,4,5,3,3,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Male,Science Communication,,No,PhD or Doctorate student,,,,,,,,,,Left,1,2,5,1,2,3,1,5,3,4,4,3,4,,
Yes,40-49,Germany,female,Other (please specify),psychotherapy,No,,,,Lecturer/Assistant professor,,,,,,,Left,2,3,1,1,1,3,1,1,5,1,1,2,5,job security (highly relevant),
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female ,Science Communication,,No,,,,Lecturer/Assistant professor,,,,,,,Left,1,2,1,1,1,1,1,1,3,2,3,2,3,"My colleagues were frustrated and had given up on research. The management was clueless /callous or both. Mid-term University, am complete (dysfunctional) racket",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,5,5,3,1,1,1,2,5,4,4,5,5,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,,,,Professor/Distinguished professor,,,,Planning on staying,3,3,4,1,1,1,1,2,1,1,2,1,2,,
Yes,60 or older,United States of America,Male,Self-employed,,No,,,,,,,Professor/Distinguished professor,,,,Left,1,1,1,1,1,1,1,1,1,1,1,2,2,,"I left academia to gain greater power over the work I do, and to fund my own work."
Yes,30-39,Switzerland,Male,Other (please specify),Drug Discovery,No,,Postdoctoral researcher,,,,,,,,,Left,3,5,5,2,1,4,5,1,5,3,1,5,5,Market oversaturated - extremely relevant; ,
Yes,50-59,United States of America,female,Self-employed,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,5,1,5,5,1,1,5,5,5,1,1,,Academia is for the birds.  I thought I would be surrounded by intellectuals.  Instead I found myself in a clown car.
Yes,30-39,United States of America,female,Other (please specify),Educational Administration,No,PhD or Doctorate student,,,,,,,,,,Left,2,4,3,4,2,3,2,2,4,3,2,3,3,highly relevant - more interested in reading about research than conducting it.,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Other (please specify),Teaching Assistant (Secondary) ,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,1,1,1,1,1,1,1,1,1,5,1,Difficulty getting academic positions (Extremely relevant) Length of time to permanent (Extremely relevant),
Yes,30-39,United States of America,female,Social sciences other than psychology,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considering leaving,5,4,1,0,3,1,1,3,2,3,3,4,4,,
Yes,30-39,Canada,Male,Social sciences other than psychology,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,1,5,4,1,1,5,1,1,5,1,4,1,5,,
Yes,21-29,Canada,Female,Other (please specify),Maternity leave ii,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,1,1,4,1,1,4,1,2,4,4,3,5,5,Academia is not family friendly,
Yes,40-49,United States of America,Female,Psychological science,,No,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,3,1,3,1,2,2,1,2,2,2,3,4,,
Yes,30-39,United States of America,Male,Government position,,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,4,2,2,5,2,3,4,3,4,3,4,,
Yes,21-29,United States of America,d,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,1,1,1,1,1,2,2,2,1,4,2,5,1,"Not planning to leave, being pushed out. iT's not up to me whetehr I get a job.",
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,3,5,4,1,2,2,1,2,3,1,3,5,2,"In terms of funding, incentives, and recognition by peers, it seems like academia is often a game. If you have particular attributes (prestigious mentors, networking skills, etc.) you can game the system. Related to this, the researcher/journal name-dropping culture (e.g. ""I just got published in PSYCH SCI with *insert famous researcher*"") is incredibly unscientific and irritating.",
Yes,30-39,United States of America,Female ,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Left,2,4,3,2,2,4,2,1,4,3,2,5,4,,
Yes,40-49,France,male,Teaching,,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,1,1,1,1,1,1,1,1,1,1,2,,
Yes,40-49,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,4,5,5,2,3,2,1,0,4,1,3,1,3,,
Yes,30-39,United States of America,F,Teaching,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,5,5,1,1,1,4,1,1,4,2,1,2,2,,I was surprised at how leading some survey items were.
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,2,5,1,1,1,1,1,5,4,3,1,1,"It's not the effort required to get funding, it's the complete luck involved in it - rather than any talent. ",
